incident_id,threat_id,asset_id,employee_id,detection_time,status,time_to_resolve_hours,data_breached_gb,financial_impact_k
1,5,32,1,2020-12-31 08:42:10.560393,Resolved,138,0.0,142.11
2,3,46,1,2023-03-13 05:06:53.560393,Resolved,143,89.71,2378.24
3,4,12,12,2020-11-03 23:00:46.560393,Resolved,41,5.49,268.54
4,2,14,9,2022-11-10 13:44:09.560393,Resolved,59,0.0,32.18
5,2,2,3,2024-02-02 10:17:20.560393,Resolved,29,32.14,1279.37
6,5,49,11,2022-12-16 19:12:26.560393,Resolved,49,50.38,994.35
7,5,20,9,2022-07-14 21:38:02.560393,Resolved,155,76.7,3775.95
8,1,7,8,2022-06-23 06:40:49.560393,Resolved,110,0.0,9.53
9,1,10,8,2020-10-27 01:23:13.560393,Resolved,5,0.0,19.6
10,1,22,12,2022-05-22 15:21:29.560393,Investigating,17,0.0,40.45
11,2,30,8,2022-08-20 07:34:05.560393,Resolved,48,0.0,21.14
12,5,20,9,2021-05-13 18:43:05.560393,Closed,30,21.7,815.96
13,5,38,13,2023-06-09 03:39:07.560393,Resolved,82,21.8,872.98
14,1,3,8,2023-06-19 21:23:24.560393,Investigating,67,3.89,74.96
15,3,43,7,2021-05-15 11:12:29.560393,Resolved,5,59.71,1576.36
16,2,6,12,2021-01-19 04:02:37.560393,Resolved,31,21.91,422.84
17,1,8,6,2025-04-30 18:35:56.560393,Resolved,24,0.0,18.47
18,3,17,6,2023-08-18 02:14:48.560393,Resolved,4810,26.65,433.2
19,3,6,15,2023-07-27 03:10:06.560393,Resolved,36,86.53,1873.85
20,1,2,8,2023-06-29 11:50:12.560393,Investigating,28,5.21,102.47
21,2,26,4,2023-07-03 21:52:59.560393,Closed,84,37.59,743.03
22,1,42,1,2023-08-10 10:41:10.560393,Closed,59,2.25,29.35
23,1,33,3,2023-11-11 08:51:41.560393,Resolved,30,0.0,24.26
24,2,40,4,2023-11-07 16:16:44.560393,Investigating,130,0.0,37.63
25,2,16,7,2024-01-05 18:36:57.560393,Resolved,194,21.09,541.5
26,3,46,15,2021-04-29 03:05:27.560393,Resolved,59,0.0,50.71
27,3,9,13,2023-04-10 03:06:13.560393,Resolved,335,0.0,40.16
28,3,4,1,2020-09-29 08:17:53.560393,Resolved,53,0.0,116.45
29,1,25,1,2020-12-04 09:13:09.560393,Resolved,15,0.0,23.01
30,4,13,11,2021-07-21 21:47:25.560393,Closed,65,14.89,234.17
31,1,28,5,2024-01-24 23:40:14.560393,Resolved,18,0.0,8.91
32,1,33,14,2025-06-22 00:10:14.560393,Resolved,39,2.67,64.66
33,1,36,11,2024-08-08 03:53:20.560393,Resolved,33,0.0,15.91
34,2,20,9,2023-01-14 11:35:16.560393,Resolved,86,58.01,1328.91
35,1,5,15,2024-08-07 12:39:43.560393,Resolved,75,0.0,14.23
36,2,6,3,2022-01-08 00:09:52.560393,Resolved,217,152.18,2874.52
37,2,12,9,2021-10-16 03:56:11.560393,Resolved,11,0.0,22.29
38,1,5,1,2023-06-14 19:54:45.560393,Investigating,83,0.0,42.76
39,1,28,7,2020-09-28 00:53:44.560393,Resolved,11,0.0,5.53
40,1,35,3,2025-05-14 22:51:30.560393,Resolved,31,9.56,196.36
41,2,26,5,2024-06-07 09:41:10.560393,Resolved,3,79.06,2855.6
42,2,42,6,2025-05-21 19:35:02.560393,Resolved,48,26.91,883.87
43,1,18,2,2023-07-27 00:42:47.560393,Resolved,36,11.88,177.03
44,5,20,2,2022-05-25 15:54:22.560393,Resolved,447,0.0,68.2
45,1,49,5,2024-10-24 14:15:59.560393,Resolved,59,13.79,519.88
46,1,5,5,2020-09-29 08:28:41.560393,Resolved,24,7.89,224.01
47,5,37,2,2023-07-27 17:29:18.560393,Resolved,65,37.09,1347.5
48,2,16,1,2024-06-03 01:33:05.560393,Resolved,63,0.0,51.04
49,1,23,2,2021-01-21 21:51:14.560393,Resolved,65,29.46,541.56
50,1,23,8,2021-09-02 04:49:50.560393,Closed,33,0.0,10.58
51,1,25,5,2025-07-08 15:37:02.560393,Resolved,58,0.0,15.49
52,3,41,1,2022-03-02 09:37:12.560393,Resolved,109,0.0,27.09
53,2,45,11,2022-09-09 02:40:24.560393,Resolved,119,0.0,16.01
54,2,30,6,2022-07-18 22:39:48.560393,Resolved,3,0.0,29.07
55,2,39,4,2025-08-04 18:15:20.560393,Resolved,59,56.63,1033.18
56,2,2,6,2025-04-26 16:23:15.560393,Resolved,26,88.11,1250.85
57,1,27,5,2021-05-21 00:07:06.560393,Closed,17,0.0,11.9
58,2,30,10,2021-02-01 19:11:20.560393,Resolved,442,0.0,11.62
59,4,48,5,2024-02-26 02:39:47.560393,Resolved,404,13.24,288.53
60,5,13,6,2024-02-16 10:22:36.560393,Resolved,18,38.71,834.83
61,1,40,9,2021-08-08 02:04:25.560393,Resolved,55,0.0,8.54
62,1,7,9,2020-09-16 09:34:03.560393,Resolved,95,0.0,6.01
63,5,10,13,2023-09-03 03:14:11.560393,Closed,182,0.0,50.09
64,1,24,10,2022-09-09 22:26:17.560393,Resolved,20,27.22,446.04
65,1,10,1,2024-02-09 08:32:33.560393,Resolved,13,0.0,14.39
66,4,34,3,2023-03-24 09:58:27.560393,Resolved,3,0.0,22.94
67,4,28,2,2022-11-06 09:10:54.560393,Resolved,42,0.0,79.0
68,1,2,12,2024-10-04 16:31:05.560393,Resolved,8,17.89,123.16
69,1,27,10,2023-09-20 11:24:31.560393,Resolved,61,0.0,25.21
70,2,15,14,2023-09-19 05:46:21.560393,Resolved,34,1.67,40.23
71,5,31,4,2022-03-14 02:40:40.560393,Resolved,294,32.29,999.95
72,2,37,3,2025-02-10 22:41:28.560393,Resolved,10,10.68,230.67
73,3,22,6,2022-03-17 10:52:59.560393,Resolved,135,0.0,36.13
74,3,12,1,2022-12-13 03:34:54.560393,Resolved,19,0.0,43.4
75,1,2,7,2023-02-21 03:43:08.560393,Resolved,31,0.0,13.08
76,1,24,6,2022-09-23 12:44:14.560393,Resolved,61,0.0,48.48
77,5,39,3,2022-04-02 11:03:09.560393,Resolved,527,43.59,482.35
78,1,41,1,2024-08-19 19:28:17.560393,Resolved,34,0.0,13.42
79,1,30,4,2025-07-22 20:42:44.560393,Resolved,57,0.0,11.75
